Match Number,Round Number,Date,Location,Home Team,Away Team,Group,Result
1,1,18/09/2018 18:55,Stadio San Siro,Internazionale,Tottenham,Group B,2 - 1
2,1,18/09/2018 18:55,Camp Nou,Barcelona,PSV,Group B,4 - 0
3,1,18/09/2018 21:00,Stade Louis II,Monaco,Atlético,Group A,1 - 2
4,1,18/09/2018 21:00,Jan Breydelstadion,Club Brugge,Dortmund,Group A,0 - 1
5,1,18/09/2018 21:00,Stadion Rajko Mitic,Crvena zvezda,Napoli,Group C,0 - 0
6,1,18/09/2018 21:00,Anfield,Liverpool,Paris,Group C,3 - 2
7,1,18/09/2018 21:00,Arena AufSchalke,Schalke,Porto,Group D,1 - 1
8,1,18/09/2018 21:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Lokomotiv Moskva,Group D,3 - 0
9,1,19/09/2018 18:55,Johan Cruijff ArenA,Ajax,AEK,Group E,3 - 0
10,1,19/09/2018 18:55,OSK Metalist Stadion,Shakhtar Donetsk,Hoffenheim,Group F,2 - 2
11,1,19/09/2018 21:00,Estádio do Sport Lisboa e Benfica,Benfica,Bayern,Group E,0 - 2
12,1,19/09/2018 21:00,City of Manchester Stadium,Man. City,Lyon,Group F,1 - 2
13,1,19/09/2018 21:00,Štruncovy Sady Stadion,Plzen,CSKA Moskva,Group G,2 - 2
14,1,19/09/2018 21:00,Estadio Santiago Bernabéu,Real Madrid,Roma,Group G,3 - 0
15,1,19/09/2018 21:00,Estadi de Mestalla,Valencia,Juventus,Group H,0 - 2
16,1,19/09/2018 21:00,Stade de Suisse,Young Boys,Man. United,Group H,0 - 3
17,2,02/10/2018 18:55,Rhein-Neckar-Arena,Hoffenheim,Man. City,Group F,1 - 2
18,2,02/10/2018 18:55,Juventus Stadium,Juventus,Young Boys,Group H,3 - 0
19,2,02/10/2018 21:00,OAKA Spyros Louis,AEK,Benfica,Group E,2 - 3
20,2,02/10/2018 21:00,Fußball Arena München,Bayern,Ajax,Group E,1 - 1
21,2,02/10/2018 21:00,OL Stadium,Lyon,Shakhtar Donetsk,Group F,2 - 2
22,2,02/10/2018 21:00,Stadio Olimpico,Roma,Plzen,Group G,5 - 0
23,2,02/10/2018 21:00,Luzhniki Stadium,CSKA Moskva,Real Madrid,Group G,1 - 0
24,2,02/10/2018 21:00,Old Trafford,Man. United,Valencia,Group H,0 - 0
25,2,03/10/2018 18:55,Parc des Princes,Paris,Crvena zvezda,Group C,6 - 1
26,2,03/10/2018 18:55,Stadion Lokomotiv,Lokomotiv Moskva,Schalke,Group D,0 - 1
27,2,03/10/2018 21:00,BVB Stadion Dortmund,Dortmund,Monaco,Group A,3 - 0
28,2,03/10/2018 21:00,Estadio Metropolitano,Atlético,Club Brugge,Group A,3 - 1
29,2,03/10/2018 21:00,PSV Stadion,PSV,Internazionale,Group B,1 - 2
30,2,03/10/2018 21:00,Wembley Stadium,Tottenham,Barcelona,Group B,2 - 4
31,2,03/10/2018 21:00,Stadio San Paolo,Napoli,Liverpool,Group C,1 - 0
32,2,03/10/2018 21:00,Estádio do Dragão,Porto,Galatasaray,Group D,1 - 0
33,3,23/10/2018 18:55,OAKA Spyros Louis,AEK,Bayern,Group E,0 - 2
34,3,23/10/2018 18:55,Stade de Suisse,Young Boys,Valencia,Group H,1 - 1
35,3,23/10/2018 21:00,Johan Cruijff ArenA,Ajax,Benfica,Group E,1 - 0
36,3,23/10/2018 21:00,OSK Metalist Stadion,Shakhtar Donetsk,Man. City,Group F,0 - 3
37,3,23/10/2018 21:00,Rhein-Neckar-Arena,Hoffenheim,Lyon,Group F,3 - 3
38,3,23/10/2018 21:00,Estadio Santiago Bernabéu,Real Madrid,Plzen,Group G,2 - 1
39,3,23/10/2018 21:00,Stadio Olimpico,Roma,CSKA Moskva,Group G,3 - 0
40,3,23/10/2018 21:00,Old Trafford,Man. United,Juventus,Group H,0 - 1
41,3,24/10/2018 18:55,Jan Breydelstadion,Club Brugge,Monaco,Group A,1 - 1
42,3,24/10/2018 18:55,PSV Stadion,PSV,Tottenham,Group B,2 - 2
43,3,24/10/2018 21:00,BVB Stadion Dortmund,Dortmund,Atlético,Group A,4 - 0
44,3,24/10/2018 21:00,Camp Nou,Barcelona,Internazionale,Group B,2 - 0
45,3,24/10/2018 21:00,Anfield,Liverpool,Crvena zvezda,Group C,4 - 0
46,3,24/10/2018 21:00,Parc des Princes,Paris,Napoli,Group C,2 - 2
47,3,24/10/2018 21:00,Ali Sami Yen Spor Kompleksi,Galatasaray,Schalke,Group D,0 - 0
48,3,24/10/2018 21:00,Stadion Lokomotiv,Lokomotiv Moskva,Porto,Group D,1 - 3
49,4,06/11/2018 18:55,Stade Louis II,Monaco,Club Brugge,Group A,0 - 4
50,4,06/11/2018 18:55,Stadion Rajko Mitic,Crvena zvezda,Liverpool,Group C,2 - 0
51,4,06/11/2018 21:00,Estadio Metropolitano,Atlético,Dortmund,Group A,2 - 0
52,4,06/11/2018 21:00,Stadio San Siro,Internazionale,Barcelona,Group B,1 - 1
53,4,06/11/2018 21:00,Wembley Stadium,Tottenham,PSV,Group B,2 - 1
54,4,06/11/2018 21:00,Stadio San Paolo,Napoli,Paris,Group C,1 - 1
55,4,06/11/2018 21:00,Arena AufSchalke,Schalke,Galatasaray,Group D,2 - 0
56,4,06/11/2018 21:00,Estádio do Dragão,Porto,Lokomotiv Moskva,Group D,4 - 1
57,4,07/11/2018 18:55,Luzhniki Stadium,CSKA Moskva,Roma,Group G,1 - 2
58,4,07/11/2018 18:55,Estadi de Mestalla,Valencia,Young Boys,Group H,3 - 1
59,4,07/11/2018 21:00,Estádio do Sport Lisboa e Benfica,Benfica,Ajax,Group E,1 - 1
60,4,07/11/2018 21:00,Fußball Arena München,Bayern,AEK,Group E,2 - 0
61,4,07/11/2018 21:00,City of Manchester Stadium,Man. City,Shakhtar Donetsk,Group F,6 - 0
62,4,07/11/2018 21:00,OL Stadium,Lyon,Hoffenheim,Group F,2 - 2
63,4,07/11/2018 21:00,Štruncovy Sady Stadion,Plzen,Real Madrid,Group G,0 - 5
64,4,07/11/2018 21:00,Juventus Stadium,Juventus,Man. United,Group H,1 - 2
65,5,27/11/2018 18:55,OAKA Spyros Louis,AEK,Ajax,Group E,0 - 2
66,5,27/11/2018 18:55,Luzhniki Stadium,CSKA Moskva,Plzen,Group G,1 - 2
67,5,27/11/2018 21:00,Fußball Arena München,Bayern,Benfica,Group E,5 - 1
68,5,27/11/2018 21:00,OL Stadium,Lyon,Man. City,Group F,2 - 2
69,5,27/11/2018 21:00,Rhein-Neckar-Arena,Hoffenheim,Shakhtar Donetsk,Group F,2 - 3
70,5,27/11/2018 21:00,Stadio Olimpico,Roma,Real Madrid,Group G,0 - 2
71,5,27/11/2018 21:00,Juventus Stadium,Juventus,Valencia,Group H,1 - 0
72,5,27/11/2018 21:00,Old Trafford,Man. United,Young Boys,Group H,1 - 0
73,5,28/11/2018 18:55,Estadio Metropolitano,Atlético,Monaco,Group A,2 - 0
74,5,28/11/2018 18:55,Stadion Lokomotiv,Lokomotiv Moskva,Galatasaray,Group D,2 - 0
75,5,28/11/2018 21:00,BVB Stadion Dortmund,Dortmund,Club Brugge,Group A,0 - 0
76,5,28/11/2018 21:00,Wembley Stadium,Tottenham,Internazionale,Group B,1 - 0
77,5,28/11/2018 21:00,PSV Stadion,PSV,Barcelona,Group B,1 - 2
78,5,28/11/2018 21:00,Stadio San Paolo,Napoli,Crvena zvezda,Group C,3 - 1
79,5,28/11/2018 21:00,Parc des Princes,Paris,Liverpool,Group C,2 - 1
80,5,28/11/2018 21:00,Estádio do Dragão,Porto,Schalke,Group D,3 - 1
81,6,11/12/2018 18:55,Arena AufSchalke,Schalke,Lokomotiv Moskva,Group D,1 - 0
82,6,11/12/2018 18:55,Ali Sami Yen Spor Kompleksi,Galatasaray,Porto,Group D,2 - 3
83,6,11/12/2018 21:00,Stade Louis II,Monaco,Dortmund,Group A,0 - 2
84,6,11/12/2018 21:00,Jan Breydelstadion,Club Brugge,Atlético,Group A,0 - 0
85,6,11/12/2018 21:00,Stadio San Siro,Internazionale,PSV,Group B,1 - 1
86,6,11/12/2018 21:00,Camp Nou,Barcelona,Tottenham,Group B,1 - 1
87,6,11/12/2018 21:00,Stadion Rajko Mitic,Crvena zvezda,Paris,Group C,1 - 4
88,6,11/12/2018 21:00,Anfield,Liverpool,Napoli,Group C,1 - 0
89,6,12/12/2018 18:55,Štruncovy Sady Stadion,Plzen,Roma,Group G,2 - 1
90,6,12/12/2018 18:55,Estadio Santiago Bernabéu,Real Madrid,CSKA Moskva,Group G,0 - 3
91,6,12/12/2018 21:00,Estádio do Sport Lisboa e Benfica,Benfica,AEK,Group E,1 - 0
92,6,12/12/2018 21:00,Johan Cruijff ArenA,Ajax,Bayern,Group E,3 - 3
93,6,12/12/2018 21:00,City of Manchester Stadium,Man. City,Hoffenheim,Group F,2 - 1
94,6,12/12/2018 21:00,NSK Olimpiyskyi,Shakhtar Donetsk,Lyon,Group F,1 - 1
95,6,12/12/2018 21:00,Estadi de Mestalla,Valencia,Man. United,Group H,2 - 1
96,6,12/12/2018 21:00,Stade de Suisse,Young Boys,Juventus,Group H,2 - 1
97,R16 Game 1,12/02/2019 21:00,Stadio Olimpico,Roma,Porto,,2 - 1
98,R16 Game 1,12/02/2019 21:00,Old Trafford,Man. United,Paris,,0 - 2
99,R16 Game 1,13/02/2019 21:00,Wembley Stadium,Tottenham,Dortmund,,3 - 0
100,R16 Game 1,13/02/2019 21:00,Johan Cruijff ArenA,Ajax,Real Madrid,,1 - 2
101,R16 Game 1,19/02/2019 21:00,OL Stadium,Lyon,Barcelona,,0 - 0
102,R16 Game 1,19/02/2019 21:00,Anfield,Liverpool,Bayern,,0 - 0
103,R16 Game 1,20/02/2019 21:00,Estadio Metropolitano,Atlético,Juventus,,2 - 0
104,R16 Game 1,20/02/2019 21:00,Arena AufSchalke,Schalke,Man. City,,2 - 3
105,R16 Game 2,05/03/2019 21:00,BVB Stadion Dortmund,Dortmund,Tottenham,,0 - 1
106,R16 Game 2,05/03/2019 21:00,Estadio Santiago Bernabéu,Real Madrid,Ajax,,1 - 4
107,R16 Game 2,06/03/2019 21:00,Parc des Princes,Paris,Man. United,,1 - 3
108,R16 Game 2,06/03/2019 21:00,Estádio do Dragão,Porto,Roma,,3 - 1
