Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,17/09/2024 18:45,Juventus Stadium,Juventus,PSV,3 - 1
2,1,17/09/2024 18:45,Stadion Wankdorf,Young Boys,Aston Villa,0 - 3
3,1,17/09/2024 21:00,Fußball Arena München,Bayern München,GNK Dinamo,9 - 2
4,1,17/09/2024 21:00,Stadio San Siro,Milan,Liverpool,1 - 3
5,1,17/09/2024 21:00,Estadio Santiago Bernabéu,Real Madrid,Stuttgart,3 - 1
6,1,17/09/2024 21:00,Estádio José Alvalade,Sporting CP,Lille,2 - 0
7,1,18/09/2024 18:45,Stadio Renato Dall'Ara,Bologna,Shakhtar,0 - 0
8,1,18/09/2024 18:45,Stadion Letná,Sparta Praha,Salzburg,3 - 0
9,1,18/09/2024 21:00,Jan Breydelstadion,Club Brugge,B. Dortmund,0 - 3
10,1,18/09/2024 21:00,Celtic Park,Celtic,S. Bratislava,5 - 1
11,1,18/09/2024 21:00,City of Manchester Stadium,Man City,Inter,0 - 0
12,1,18/09/2024 21:00,Parc des Princes,Paris,Girona,1 - 0
13,1,19/09/2024 18:45,Stadion Rajko Mitic,Crvena Zvezda,Benfica,1 - 2
14,1,19/09/2024 18:45,Stadion Feijenoord 'De Kuip',Feyenoord,Leverkusen,0 - 4
15,1,19/09/2024 21:00,Stadio di Bergamo,Atalanta,Arsenal,0 - 0
16,1,19/09/2024 21:00,Estadio Metropolitano,Atleti,Leipzig,2 - 1
17,1,19/09/2024 21:00,Stade Louis II,Monaco,Barcelona,2 - 1
18,1,19/09/2024 21:00,Stade de Roudourou,Brest,Sturm Graz,2 - 1
19,2,01/10/2024 18:45,Stadion Salzburg,Salzburg,Brest,0 - 4
20,2,01/10/2024 18:45,Arena Stuttgart,Stuttgart,Sparta Praha,1 - 1
21,2,01/10/2024 21:00,Stadio San Siro,Inter,Crvena Zvezda,4 - 0
22,2,01/10/2024 21:00,BVB Stadion Dortmund,B. Dortmund,Celtic,7 - 1
23,2,01/10/2024 21:00,Estadi Olímpic Lluís Companys,Barcelona,Young Boys,5 - 0
24,2,01/10/2024 21:00,BayArena,Leverkusen,Milan,1 - 0
25,2,01/10/2024 21:00,Arsenal Stadium,Arsenal,Paris,2 - 0
26,2,01/10/2024 21:00,PSV Stadion,PSV,Sporting CP,1 - 1
27,2,01/10/2024 21:00,Národný futbalový štadión,S. Bratislava,Man City,0 - 4
28,2,02/10/2024 18:45,Arena AufSchalke,Shakhtar,Atalanta,0 - 3
29,2,02/10/2024 18:45,Estadi Montilivi,Girona,Feyenoord,2 - 3
30,2,02/10/2024 21:00,Anfield,Liverpool,Bologna,2 - 0
31,2,02/10/2024 21:00,RB Arena,Leipzig,Juventus,2 - 3
32,2,02/10/2024 21:00,Estádio do SL Benfica,Benfica,Atleti,4 - 0
33,2,02/10/2024 21:00,Stadion Maksimir,GNK Dinamo,Monaco,2 - 2
34,2,02/10/2024 21:00,Stade Pierre Mauroy,Lille,Real Madrid,1 - 0
35,2,02/10/2024 21:00,Villa Park,Aston Villa,Bayern München,1 - 0
36,2,02/10/2024 21:00,Wörthersee Stadion,Sturm Graz,Club Brugge,0 - 1
37,3,22/10/2024 18:45,Stadio San Siro,Milan,Club Brugge,3 - 1
38,3,22/10/2024 18:45,Stade Louis II,Monaco,Crvena Zvezda,5 - 1
39,3,22/10/2024 21:00,Parc des Princes,Paris,PSV,1 - 1
40,3,22/10/2024 21:00,Juventus Stadium,Juventus,Stuttgart,0 - 1
41,3,22/10/2024 21:00,Arsenal Stadium,Arsenal,Shakhtar,1 - 0
42,3,22/10/2024 21:00,Villa Park,Aston Villa,Bologna,2 - 0
43,3,22/10/2024 21:00,Estadi Montilivi,Girona,S. Bratislava,2 - 0
44,3,22/10/2024 21:00,Wörthersee Stadion,Sturm Graz,Sporting CP,0 - 2
45,3,22/10/2024 21:00,Estadio Santiago Bernabéu,Real Madrid,B. Dortmund,5 - 2
46,3,23/10/2024 18:45,Stadio di Bergamo,Atalanta,Celtic,0 - 0
47,3,23/10/2024 18:45,Stade de Roudourou,Brest,Leverkusen,1 - 1
48,3,23/10/2024 21:00,City of Manchester Stadium,Man City,Sparta Praha,5 - 0
49,3,23/10/2024 21:00,RB Arena,Leipzig,Liverpool,0 - 1
50,3,23/10/2024 21:00,Estadi Olímpic Lluís Companys,Barcelona,Bayern München,4 - 1
51,3,23/10/2024 21:00,Estadio Metropolitano,Atleti,Lille,1 - 3
52,3,23/10/2024 21:00,Estádio do SL Benfica,Benfica,Feyenoord,1 - 3
53,3,23/10/2024 21:00,Stadion Salzburg,Salzburg,GNK Dinamo,0 - 2
54,3,23/10/2024 21:00,Stadion Wankdorf,Young Boys,Inter,0 - 1
55,4,05/11/2024 18:45,PSV Stadion,PSV,Girona,4 - 0
56,4,05/11/2024 18:45,Národný futbalový štadión,S. Bratislava,GNK Dinamo,1 - 4
57,4,05/11/2024 21:00,Estadio Santiago Bernabéu,Real Madrid,Milan,1 - 3
58,4,05/11/2024 21:00,Anfield,Liverpool,Leverkusen,4 - 0
59,4,05/11/2024 21:00,BVB Stadion Dortmund,B. Dortmund,Sturm Graz,1 - 0
60,4,05/11/2024 21:00,Estádio José Alvalade,Sporting CP,Man City,4 - 1
61,4,05/11/2024 21:00,Stade Pierre Mauroy,Lille,Juventus,1 - 1
62,4,05/11/2024 21:00,Celtic Park,Celtic,Leipzig,3 - 1
63,4,05/11/2024 21:00,Stadio Renato Dall'Ara,Bologna,Monaco,0 - 1
64,4,06/11/2024 18:45,Jan Breydelstadion,Club Brugge,Aston Villa,1 - 0
65,4,06/11/2024 18:45,Arena AufSchalke,Shakhtar,Young Boys,2 - 1
67,4,06/11/2024 21:00,Parc des Princes,Paris,Atleti,1 - 2
68,4,06/11/2024 21:00,Stadio San Siro,Inter,Arsenal,1 - 0
69,4,06/11/2024 21:00,Stadion Feijenoord 'De Kuip',Feyenoord,Salzburg,1 - 3
70,4,06/11/2024 21:00,Stadion Rajko Mitic,Crvena Zvezda,Barcelona,2 - 5
71,4,06/11/2024 21:00,Stadion Letná,Sparta Praha,Brest,1 - 2
72,4,06/11/2024 21:00,Arena Stuttgart,Stuttgart,Atalanta,0 - 2
66,4,06/11/2024 21:15,Fußball Arena München,Bayern München,Benfica,1 - 0
73,5,26/11/2024 18:45,Národný futbalový štadión,S. Bratislava,Milan,2 - 3
74,5,26/11/2024 18:45,Stadion Letná,Sparta Praha,Atleti,0 - 6
75,5,26/11/2024 21:00,City of Manchester Stadium,Man City,Feyenoord,3 - 3
76,5,26/11/2024 21:00,Fußball Arena München,Bayern München,Paris,1 - 0
77,5,26/11/2024 21:00,Stadio San Siro,Inter,Leipzig,1 - 0
78,5,26/11/2024 21:00,Estadi Olímpic Lluís Companys,Barcelona,Brest,3 - 0
79,5,26/11/2024 21:00,BayArena,Leverkusen,Salzburg,5 - 0
80,5,26/11/2024 21:00,Estádio José Alvalade,Sporting CP,Arsenal,1 - 5
81,5,26/11/2024 21:00,Stadion Wankdorf,Young Boys,Atalanta,1 - 6
82,5,27/11/2024 18:45,Stadion Rajko Mitic,Crvena Zvezda,Stuttgart,5 - 1
83,5,27/11/2024 18:45,Wörthersee Stadion,Sturm Graz,Girona,1 - 0
84,5,27/11/2024 21:00,Anfield,Liverpool,Real Madrid,2 - 0
85,5,27/11/2024 21:00,PSV Stadion,PSV,Shakhtar,3 - 2
86,5,27/11/2024 21:00,Stadion Maksimir,GNK Dinamo,B. Dortmund,0 - 3
87,5,27/11/2024 21:00,Celtic Park,Celtic,Club Brugge,1 - 1
88,5,27/11/2024 21:00,Stade Louis II,Monaco,Benfica,2 - 3
89,5,27/11/2024 21:00,Villa Park,Aston Villa,Juventus,0 - 0
90,5,27/11/2024 21:00,Stadio Renato Dall'Ara,Bologna,Lille,1 - 2
91,6,10/12/2024 18:45,Stadion Maksimir,GNK Dinamo,Celtic,0 - 0
92,6,10/12/2024 18:45,Estadi Montilivi,Girona,Liverpool,0 - 1
